Date,Open,High,Low,Close,Adj Close,Volume
2020-03-02,1906.489990,1954.510010,1870.000000,1953.949951,1953.949951,6761700
2020-03-03,1975.369995,1996.329956,1888.089966,1908.989990,1908.989990,7534500
2020-03-04,1946.569946,1978.000000,1922.000000,1975.829956,1975.829956,4772900
2020-03-05,1933.000000,1960.719971,1910.000000,1924.030029,1924.030029,4748200
2020-03-06,1875.000000,1910.869995,1869.500000,1901.089966,1901.089966,5273600
2020-03-09,1773.859985,1862.770020,1761.290039,1800.609985,1800.609985,7813200
2020-03-10,1870.880005,1894.270020,1818.170044,1891.819946,1891.819946,7133300
2020-03-11,1857.849976,1871.319946,1801.500000,1820.859985,1820.859985,5624800
2020-03-12,1721.979980,1765.000000,1675.000000,1676.609985,1676.609985,11346200
2020-03-13,1755.000000,1786.310059,1680.619995,1785.000000,1785.000000,8809700
2020-03-16,1641.510010,1759.449951,1626.030029,1689.150024,1689.150024,8917300
2020-03-17,1775.469971,1857.780029,1689.239990,1807.839966,1807.839966,10917100
2020-03-18,1750.000000,1841.660034,1745.000000,1830.000000,1830.000000,9645200
2020-03-19,1860.000000,1945.000000,1832.650024,1880.930054,1880.930054,10399900
2020-03-20,1926.310059,1957.000000,1820.729980,1846.089966,1846.089966,9817900
2020-03-23,1827.750000,1919.400024,1812.000000,1902.829956,1902.829956,7808500
2020-03-24,1951.500000,1955.000000,1900.339966,1940.099976,1940.099976,7147100
2020-03-25,1920.689941,1950.260010,1885.780029,1885.839966,1885.839966,6479100
2020-03-26,1902.000000,1956.489990,1889.290039,1955.489990,1955.489990,6221300
2020-03-27,1930.859985,1939.790039,1899.920044,1900.099976,1900.099976,5387900
2020-03-30,1922.829956,1973.630005,1912.339966,1963.949951,1963.949951,6126100
